Zip Code,Zip Code Type,Zip Code Name,County
63633,Non-Unique,Centerville,Reynolds
63636,Non-Unique,Des Arc,Iron
63637,Non-Unique,Doe Run,Saint Francois
63638,Non-Unique,Ellington,Reynolds
63640,Non-Unique,Farmington,Saint Francois
63645,Non-Unique,Fredericktown,Madison
63648,Non-Unique,Irondale,Washington
63650,Non-Unique,Ironton,Iron
63651,PO Box,Knob Lick,Saint Francois
63653,Non-Unique,Leadwood,Saint Francois
63654,Non-Unique,Lesterville,Reynolds
63655,Non-Unique,Marquand,Madison
63656,Non-Unique,Middle Brook,Iron
63660,Non-Unique,Mineral Point,Washington
63662,Non-Unique,Patton,Bollinger
63663,PO Box,Pilot Knob,Iron
63664,Non-Unique,Potosi,Washington
63665,Non-Unique,Redford,Reynolds
63666,PO Box,Reynolds,Reynolds
63670,Non-Unique,Sainte Genevieve,Ste Genevieve
63673,Non-Unique,Saint Mary,Ste Genevieve
63674,PO Box,Tiff,Washington
63675,Non-Unique,Vulcan,Iron
63701,Non-Unique,Cape Girardeau,Cape Girardeau
63702,PO Box,Cape Girardeau,Cape Girardeau
63703,Non-Unique,Cape Girardeau,Cape Girardeau
63730,Non-Unique,Advance,Stoddard
63732,Non-Unique,Altenburg,Perry
63735,Non-Unique,Bell City,Stoddard
63736,Non-Unique,Benton,Scott
63737,Non-Unique,Brazeau,Perry
63738,PO Box,Brownwood,Stoddard
63739,Non-Unique,Burfordville,Cape Girardeau
63740,Non-Unique,Chaffee,Scott
63742,PO Box,Commerce,Scott
63743,Non-Unique,Daisy,Cape Girardeau
63744,Non-Unique,Delta,Cape Girardeau
63745,PO Box,Dutchtown,Cape Girardeau
63746,PO Box,Farrar,Perry
63747,Non-Unique,Friedheim,Cape Girardeau
63748,Non-Unique,Frohna,Perry
63750,Non-Unique,Gipsy,Bollinger
63751,Non-Unique,Glenallen,Bollinger
63752,PO Box,Gordonville,Cape Girardeau
63755,Non-Unique,Jackson,Cape Girardeau
63758,PO Box,Kelso,Scott
63760,Non-Unique,Leopold,Bollinger
63763,Non-Unique,McGee,Wayne
63764,Non-Unique,Marble Hill,Bollinger
63766,Non-Unique,Millersville,Cape Girardeau
63767,PO Box,Morley,Scott
63769,Non-Unique,Oak Ridge,Cape Girardeau
63770,Non-Unique,Old Appleton,Cape Girardeau
63771,Non-Unique,Oran,Scott
