County,State,Date,Total Labor,Employed,Unemployed,Rate
Coffey County,KS,Aug-19,3817,3634,183,4.8
Comanche County,KS,Aug-19,869,839,30,3.5
Cowley County,KS,Aug-19,16150,15552,598,3.7
Crawford County,KS,Aug-19,18476,17707,769,4.2
Decatur County,KS,Aug-19,1290,1243,47,3.6
Dickinson County,KS,Aug-19,8736,8423,313,3.6
Doniphan County,KS,Aug-19,4162,4020,142,3.4
Douglas County,KS,Aug-19,64895,62822,2073,3.2
Edwards County,KS,Aug-19,1459,1424,35,2.4
Elk County,KS,Aug-19,1091,1044,47,4.3
Ellis County,KS,Aug-19,16554,16140,414,2.5
Ellsworth County,KS,Aug-19,2737,2641,96,3.5
Finney County,KS,Aug-19,20273,19763,510,2.5
Ford County,KS,Aug-19,17549,17096,453,2.6
Franklin County,KS,Aug-19,13832,13371,461,3.3
Geary County,KS,Aug-19,11008,10485,523,4.8
Gove County,KS,Aug-19,1495,1460,35,2.3
Graham County,KS,Aug-19,1148,1111,37,3.2
Grant County,KS,Aug-19,3253,3153,100,3.1
Gray County,KS,Aug-19,3177,3104,73,2.3
Greeley County,KS,Aug-19,802,778,24,3
Greenwood County,KS,Aug-19,3173,3058,115,3.6
Hamilton County,KS,Aug-19,1656,1621,35,2.1
Harper County,KS,Aug-19,2824,2742,82,2.9
Harvey County,KS,Aug-19,17025,16489,536,3.1
Haskell County,KS,Aug-19,2248,2196,52,2.3
Hodgeman County,KS,Aug-19,1031,1007,24,2.3
Jackson County,KS,Aug-19,7233,7011,222,3.1
Jefferson County,KS,Aug-19,10172,9868,304,3
Jewell County,KS,Aug-19,1315,1278,37,2.8
Johnson County,KS,Aug-19,340500,330335,10165,3
Kearny County,KS,Aug-19,2034,1978,56,2.8
Kingman County,KS,Aug-19,3483,3369,114,3.3
Kiowa County,KS,Aug-19,1270,1237,33,2.6
Labette County,KS,Aug-19,9882,9487,395,4
Lane County,KS,Aug-19,782,756,26,3.3
Leavenworth County,KS,Aug-19,36668,35352,1316,3.6
Lincoln County,KS,Aug-19,1637,1597,40,2.4
